pclass;sex;age;survived
2;male;42;0
2;male;27;0
2;female;24;1
2;female;15;1
2;male;60;0
2;female;40;1
2;female;20;1
2;male;25;0
2;female;36;1
2;male;25;0
2;male;42;0
2;female;42;1
2;male;0.8333;1
2;male;26;1
2;female;22;1
2;female;35;1
2;male;;0
2;male;19;0
2;female;44;0
2;male;54;0
2;male;52;0
2;male;37;0
2;female;29;0
2;female;25;1
2;female;45;1
2;male;29;0
2;female;28;1
2;male;29;0
2;male;28;0
2;male;24;1
2;female;8;1
2;male;31;0
2;female;31;1
2;female;22;1
2;female;30;0
2;female;;0
2;male;21;0
2;male;;0
2;male;8;1
2;male;18;0
2;female;48;1
2;female;28;1
2;male;32;0
2;male;17;0
2;male;29;0
2;female;24;1
2;male;25;0
2;male;18;0
2;female;18;1
2;female;34;1
2;male;54;0
2;male;8;1
2;male;42;0
2;female;34;1
2;female;27;1
2;female;30;1
2;male;23;0
2;male;21;0
2;male;18;0
2;male;40;0
2;female;29;1
2;male;18;0
2;male;36;0
2;male;;0
2;female;38;0
2;male;35;0
2;male;38;0
2;male;34;0
2;female;34;1
2;male;16;0
2;male;26;0
2;male;47;0
2;male;21;0
2;male;21;0
2;male;24;0
2;male;24;0
2;male;34;0
2;male;30;0
2;male;52;0
2;male;30;0
2;male;0.6667;1
2;female;24;1
2;male;44;0
2;female;6;1
2;male;28;0
2;male;62;1
2;male;30;0
2;female;7;1
2;male;43;0
2;female;45;1
2;female;24;1
2;female;24;1
2;male;49;0
2;female;48;1
2;female;55;1
2;male;24;0
2;male;32;0
2;male;21;0
2;female;18;0
2;female;20;1
2;male;23;0
2;male;36;0
2;female;54;1
2;male;50;0
2;male;44;0
2;female;29;1
2;male;21;0
2;male;42;1
2;male;63;0
2;female;60;0
2;male;33;0
2;female;17;1
2;male;42;0
2;female;24;1
2;male;47;0
2;male;24;0
2;male;22;0
2;male;32;0
2;female;23;1
2;male;34;0
2;female;24;1
2;female;22;0
2;female;;1
2;male;35;0
2;female;45;1
2;male;57;0
2;male;;0
2;male;31;0
2;female;26;0
2;male;30;0
2;male;;0
2;female;1;1
2;female;3;1
2;male;25;0
2;female;22;1
2;female;17;1
2;female;;1
2;female;34;1
2;male;36;0
2;male;24;0
2;male;61;0
2;male;50;0
2;female;42;1
2;female;57;0
2;male;;0
2;male;1;1
2;male;31;0
2;female;24;1
2;male;;0
2;male;30;0
2;male;40;0
2;male;32;0
2;male;30;0
2;male;46;0
2;female;13;1
2;female;41;1
2;male;19;1
2;male;39;0
2;male;48;0
2;male;70;0
2;male;27;0
2;male;54;0
2;male;39;0
2;male;16;0
2;male;62;0
2;male;32.5;0
2;female;14;1
2;male;2;1
2;male;3;1
2;male;36.5;0
2;male;26;0
2;male;19;0
2;male;28;0
2;male;20;1
2;female;29;1
2;male;39;0
2;male;22;1
2;male;;1
2;male;23;0
2;male;29;1
2;male;28;0
2;male;;0
2;female;50;1
2;male;19;0
2;male;;0
2;male;41;0
2;female;21;1
2;female;19;1
2;male;43;0
2;female;32;1
2;male;34;0
2;male;30;1
2;male;27;0
2;female;2;1
2;female;8;1
2;female;33;1
2;male;36;0
2;male;34;0
2;female;30;1
2;female;28;1
2;male;23;0
2;male;0.8333;1
2;male;3;1
2;female;24;1
2;female;50;1
2;male;19;0
2;female;21;1
2;male;26;0
2;male;25;0
2;male;27;0
2;female;25;1
2;female;18;1
2;female;20;1
2;female;30;1
2;male;59;0
2;female;30;1
2;male;35;0
2;female;40;1
2;male;25;0
2;male;41;0
2;male;25;0
2;male;18.5;0
2;male;14;0
2;female;50;1
2;male;23;0
2;female;28;1
2;female;27;1
2;male;29;0
2;female;27;0
2;male;40;0
2;female;31;1
2;male;30;0
2;male;23;0
2;female;31;1
2;male;;0
2;female;12;1
2;female;40;1
2;female;32.5;1
2;male;27;0
2;female;29;1
2;male;2;1
2;female;4;1
2;female;29;1
2;female;0.9167;1
2;female;5;1
2;male;36;0
2;female;33;1
2;male;66;0
2;male;;0
2;male;31;1
2;male;;1
2;female;26;1
2;female;24;0
3;male;42;0
3;male;13;0
3;male;16;0
3;female;35;1
3;female;16;1
3;male;25;1
3;male;20;1
3;female;18;1
3;male;30;0
3;male;26;0
3;female;40;0
3;male;0.8333;1
3;female;18;1
3;male;26;1
3;male;26;0
3;male;20;0
3;male;24;0
3;male;25;0
3;male;35;0
3;male;18;0
3;male;32;0
3;female;19;1
3;male;4;0
3;female;6;0
3;female;2;0
3;female;17;1
3;female;38;0
3;female;9;0
3;female;11;0
3;male;39;0
3;male;27;1
3;male;26;0
3;female;39;0
3;male;20;0
3;male;26;0
3;male;25;0
3;female;18;0
3;male;24;0
3;male;35;0
3;male;5;0
3;male;9;0
3;male;3;1
3;male;13;0
3;female;5;1
3;male;40;0
3;male;23;1
3;female;38;1
3;female;45;1
3;male;21;0
3;male;23;0
3;female;17;0
3;male;30;0
3;male;23;0
3;female;13;1
3;male;20;0
3;male;32;0
3;female;33;1
3;female;0.75;1
3;female;0.75;1
3;female;5;1
3;female;24;1
3;female;18;1
3;male;40;0
3;male;26;0
3;male;20;1
3;female;18;0
3;female;45;0
3;female;27;0
3;male;22;0
3;male;19;0
3;male;26;0
3;male;22;0
3;male;;0
3;male;20;0
3;male;32;1
3;male;21;0
3;male;18;0
3;male;26;0
3;male;6;0
3;female;9;0
3;male;;0
3;female;;0
3;female;;0
3;male;40;0
3;female;32;0
3;male;21;0
3;female;22;1
3;female;20;0
3;male;29;0
3;male;22;0
3;male;22;0
3;male;35;0
3;female;18.5;0
3;male;21;1
3;male;19;0
3;female;18;0
3;female;21;0
3;female;30;0
3;male;18;0
3;male;38;0
3;male;17;0
3;male;17;0
3;female;21;0
3;male;21;0
3;male;21;0
3;male;;0
3;female;;0
3;male;28;0
3;male;24;0
3;female;16;1
3;female;37;0
3;male;28;0
3;male;24;0
3;male;21;0
3;male;32;1
3;male;29;0
3;male;26;0
3;male;18;0
3;male;20;0
3;male;18;1
3;male;24;0
3;male;36;0
3;male;24;0
3;male;31;0
3;male;31;0
3;female;22;1
3;female;30;0
3;male;70.5;0
3;male;43;0
3;male;35;0
3;male;27;0
3;male;19;0
3;male;30;0
3;male;9;1
3;male;3;1
3;female;36;1
3;male;59;0
3;male;19;0
3;female;17;1
3;male;44;0
3;male;17;0
3;male;22.5;0
3;male;45;1
3;female;22;0
3;male;19;0
3;female;30;1
3;male;29;1
3;male;0.3333;0
3;male;34;0
3;female;28;0
3;male;27;0
3;male;25;0
3;male;24;0
3;male;22;0
3;male;21;0
3;male;17;0
3;male;;0
3;female;;1
3;male;36.5;1
3;female;36;1
3;male;30;1
3;male;16;0
3;male;1;1
3;female;0.1667;1
3;male;26;0
3;female;33;1
3;male;25;0
3;male;;0
3;male;;0
3;male;22;0
3;male;36;0
3;female;19;1
3;male;17;0
3;male;42;0
3;male;43;0
3;male;;0
3;male;32;0
3;male;19;1
3;female;30;1
3;female;24;0
3;female;23;1
3;male;33;0
3;male;65;0
3;male;24;1
3;male;23;0
3;female;22;1
3;male;18;0
3;male;16;0
3;male;45;0
3;male;;0
3;male;39;0
3;male;17;0
3;male;15;0
3;male;47;0
3;female;5;1
3;male;;0
3;male;40.5;0
3;male;40.5;0
3;male;;1
3;male;18;0
3;female;;0
3;male;;0
3;male;;0
3;male;26;0
3;male;;0
3;male;;1
3;female;21;0
3;female;9;0
3;male;;0
3;male;18;0
3;male;16;0
3;female;48;0
3;male;;0
3;male;;0
3;male;25;0
3;male;;0
3;male;;0
3;male;22;0
3;female;16;1
3;female;;1
3;male;9;1
3;male;33;0
3;male;41;0
3;female;31;1
3;male;38;0
3;male;9;0
3;male;1;0
3;male;11;0
3;female;10;0
3;female;16;0
3;male;14;0
3;male;40;0
3;female;43;0
3;male;51;0
3;male;32;0
3;male;;0
3;male;20;0
3;male;37;0
3;male;28;0
3;male;19;0
3;female;24;0
3;female;17;0
3;male;;0
3;male;;0
3;male;28;0
3;female;24;1
3;male;20;0
3;male;23.5;0
3;male;41;0
3;male;26;0
3;male;21;0
3;female;45;1
3;female;;0
3;male;25;0
3;male;;0
3;male;11;0
3;female;;1
3;male;27;1
3;male;;1
3;female;18;0
3;female;26;1
3;female;23;0
3;female;22;1
3;male;28;0
3;female;28;0
3;female;;0
3;female;2;1
3;female;22;1
3;male;43;0
3;male;28;0
3;female;27;1
3;male;;0
3;female;;1
3;male;42;0
3;male;;1
3;male;30;0
3;male;;0
3;female;27;0
3;female;25;0
3;male;;0
3;male;29;1
3;male;21;1
3;male;;0
3;male;20;0
3;male;48;0
3;male;17;0
3;female;;1
3;male;;1
3;male;34;0
3;male;26;1
3;male;22;0
3;male;33;0
3;male;31;0
3;male;29;0
3;male;4;1
3;female;1;1
3;male;49;0
3;male;33;0
3;male;19;0
3;female;27;1
3;male;;0
3;female;;0
3;male;;0
3;female;;0
3;male;23;0
3;male;32;1
3;male;27;0
3;female;20;0
3;female;21;0
3;male;32;1
3;male;17;0
3;male;21;0
3;male;30;0
3;male;21;1
3;male;33;0
3;male;22;0
3;female;4;1
3;male;39;1
3;male;;0
3;male;18.5;0
3;male;;0
3;male;;0
3;female;;1
3;female;;1
3;male;34.5;0
3;male;44;0
3;male;;1
3;male;;0
3;female;;0
3;male;;0
3;male;;0
3;male;;0
3;female;22;0
3;male;26;0
3;female;4;1
3;male;29;1
3;female;26;1
3;female;1;0
3;male;18;0
3;female;36;0
3;male;;0
3;male;25;1
3;male;;0
3;female;37;0
3;male;;0
3;male;;1
3;male;;0
3;female;22;1
3;male;;0
3;male;26;1
3;male;29;0
3;male;29;0
3;male;22;0
3;male;22;1
3;male;;0
3;female;;0
3;female;;0
3;female;;0
3;female;;0
3;male;32;0
3;male;34.5;0
3;female;;0
3;male;;0
3;male;36;0
3;male;39;0
3;male;24;0
3;female;25;0
3;female;45;0
3;male;36;0
3;female;30;0
3;male;20;1
3;male;;0
3;male;28;0
3;male;;0
3;male;30;0
3;female;26;0
3;male;;0
3;male;20.5;0
3;male;27;1
3;male;51;0
3;female;23;1
3;male;32;1
3;male;;0
3;male;;0
3;female;;1
3;male;24;1
3;male;22;0
3;female;;0
3;male;;0
3;male;;0
3;male;29;0
3;male;;1
3;female;30.5;0
3;female;;1
3;male;;0
3;male;35;0
3;male;33;0
3;female;;1
3;male;;0
3;female;;1
3;male;;1
3;female;;1
3;female;;1
3;male;;1
3;female;;1
3;male;;0
3;female;;1
3;female;15;1
3;female;35;0
3;male;;0
3;male;24;0
3;female;19;0
3;female;;0
3;female;;0
3;female;;0
3;male;55.5;0
3;male;;0
3;male;21;1
3;male;;0
3;male;24;0
3;male;21;0
3;male;28;0
3;male;;0
3;female;;1
3;male;25;0
3;male;6;1
3;female;27;1
3;male;;0
3;female;;1
3;male;;0
3;male;;0
3;male;34;0
3;male;;0
3;male;;1
3;male;;1
3;male;;1
3;female;;1
3;female;;1
3;male;;0
3;female;;1
3;female;24;1
3;male;;0
3;female;;1
3;female;;1
3;female;;1
3;male;18;0
3;male;22;0
3;female;15;1
3;female;1;1
3;male;20;1
3;female;19;1
3;male;33;0
3;male;;0
3;male;;0
3;female;;0
3;male;;0
3;male;12;1
3;female;14;1
3;female;29;0
3;male;28;0
3;female;18;1
3;female;26;1
3;male;21;0
3;male;41;0
3;male;39;1
3;male;21;0
3;male;28.5;0
3;female;22;1
3;male;61;0
3;male;;0
3;male;;0
3;female;;1
3;male;;0
3;male;;0
3;male;;0
3;male;23;0
3;female;;0
3;female;;1
3;female;;1
3;female;22;1
3;male;;1
3;female;;1
3;male;9;1
3;male;28;0
3;male;42;0
3;male;;0
3;female;31;0
3;male;28;0
3;male;32;1
3;male;20;0
3;female;23;0
3;female;20;0
3;male;20;0
3;male;16;0
3;female;31;1
3;female;;0
3;male;2;0
3;male;6;0
3;female;3;0
3;female;8;0
3;female;29;0
3;male;1;0
3;male;7;0
3;male;2;0
3;male;16;0
3;male;14;0
3;female;41;0
3;male;21;0
3;male;19;0
3;male;;0
3;male;32;0
3;male;0.75;0
3;female;3;0
3;female;26;0
3;male;;0
3;male;;0
3;male;;0
3;male;21;0
3;male;25;0
3;male;22;0
3;male;25;1
3;male;;1
3;female;;1
3;female;;1
3;female;;0
3;male;24;0
3;female;28;0
3;male;19;0
3;male;;0
3;male;25;0
3;female;18;0
3;male;32;1
3;male;;0
3;male;17;0
3;male;24;0
3;male;;0
3;female;;0
3;male;;0
3;male;;0
3;male;38;0
3;male;21;0
3;male;10;0
3;male;4;0
3;male;7;0
3;male;2;0
3;male;8;0
3;female;39;0
3;female;22;0
3;male;35;0
3;female;;1
3;male;;0
3;female;;0
3;male;50;0
3;female;47;0
3;male;;0
3;male;;0
3;female;2;0
3;male;18;0
3;female;41;0
3;female;;1
3;male;50;0
3;male;16;0
3;male;;1
3;male;;0
3;male;;0
3;male;25;0
3;male;;0
3;male;;0
3;male;;0
3;male;38.5;0
3;male;;0
3;male;14.5;0
3;female;;0
3;female;;0
3;female;;0
3;female;;0
3;male;;0
3;male;;0
3;male;;0
3;male;;0
3;female;;0
3;male;24;0
3;female;21;1
3;male;39;0
3;male;;0
3;male;;0
3;male;;0
3;female;1;1
3;female;24;1
3;female;4;1
3;male;25;1
3;male;20;0
3;male;24.5;0
3;male;;0
3;male;;0
3;male;;0
3;male;29;1
3;male;;0
3;female;;1
3;male;;0
3;male;;0
3;male;22;0
3;male;;0
3;male;40;0
3;male;21;0
3;female;18;1
3;male;4;0
3;male;10;0
3;female;9;0
3;female;2;0
3;male;40;0
3;female;45;0
3;male;;0
3;male;;0
3;male;;0
3;male;;0
3;female;;1
3;male;19;0
3;male;30;0
3;male;;0
3;male;32;0
3;male;;0
3;male;33;0
3;female;23;1
3;male;21;0
3;male;60.5;0
3;male;19;0
3;female;22;0
3;male;31;1
3;male;27;0
3;female;2;0
3;female;29;0
3;male;16;1
3;male;44;1
3;male;25;0
3;male;74;0
3;male;14;1
3;male;24;0
3;male;25;1
3;male;34;0
3;male;0.4167;1
3;male;;0
3;male;;0
3;male;;0
3;female;16;1
3;male;;0
3;male;;0
3;female;;1
3;male;32;0
3;male;;0
3;male;;0
3;male;30.5;0
3;male;44;0
3;male;;0
3;male;25;1
3;male;;0
3;male;7;1
3;female;9;1
3;female;29;1
3;male;36;0
3;female;18;1
3;female;63;1
3;male;;0
3;male;11.5;0
3;male;40.5;0
3;female;10;0
3;male;36;0
3;female;30;0
3;male;;0
3;male;33;0
3;male;28;0
3;male;28;0
3;male;47;0
3;female;18;0
3;male;31;0
3;male;16;0
3;female;31;0
3;male;22;1
3;male;20;0
3;female;14;0
3;male;22;0
3;male;22;0
3;male;;0
3;male;;0
3;male;;0
3;male;32.5;0
3;female;38;1
3;male;51;0
3;male;18;0
3;male;21;0
3;female;47;1
3;male;;0
3;male;;0
3;male;;0
3;male;28.5;0
3;male;21;0
3;male;27;0
3;male;;0
3;male;36;0
3;male;27;0
3;female;15;1
3;male;45.5;0
3;male;;0
3;male;;0
3;female;14.5;0
3;female;;0
3;male;26.5;0
3;male;27;0
3;male;29;0
